S. No.,Employee Id,First Name,Last Name,Full Name,Gender,Marital Status,Age,Date Of Birth,Date Of Joining,Date of Leaving,Designation,Department,Work Location,Status,Qualification,Shift Details,Current CTC
165,ASG00165,Gaurav,Barad,Gaurav Barad,Male,Married,32,1994-07-04,2015-03-15,,HR Analyst,HR,Kolkata,Active,PG,Day,1032000
166,ASG00166,Yasti,Lanka,Yasti Lanka,Female,Married,32,1994-01-01,2015-03-16,,Sales Trainee,Sales,Kolkata,Active,UG,Day,702000
167,ASG00167,Panini,Venkatesh,Panini Venkatesh,Female,Married,37,1989-06-19,2015-03-17,,Sr Accountant,Finance,Mumbai,Active,PG,Mid,1730000
168,ASG00168,Nathan,Bhalla,Nathan Bhalla,Male,Married,38,1988-07-14,2015-03-18,,HR Analyst,HR,Kolkata,Active,PG,Mid,1360000
169,ASG00169,Abdul,Kibe,Abdul Kibe,Male,Married,37,1989-07-21,2015-03-18,,Payroll Analyst,Payroll,Kolkata,Active,UG,Day,1319000
170,ASG00170,Vrinda,Bhardwaj,Vrinda Bhardwaj,Female,Married,33,1993-01-07,2015-03-19,,HR Analyst,HR,Chennai,Active,PG,Night,1114000
171,ASG00171,Indrajit,Trivedi,Indrajit Trivedi,Male,Married,44,1982-06-30,2015-03-20,,Senior Sales Executive,Sales,Chennai,Active,PG,Day,2241000
172,ASG00172,Faqid,Rastogi,Faqid Rastogi,Male,Single,36,1990-05-06,2015-03-24,,Accounts Executive,Finance,Hyderabad,Active,PG,Day,1267000
173,ASG00173,Radha,Kaul,Radha Kaul,Female,Married,43,1983-04-09,2015-03-24,,Sr Accountant,Finance,Mumbai,Active,PG,Day,2168000
174,ASG00174,Lakshit,Oza,Lakshit Oza,Male,Married,37,1988-09-27,2015-03-24,,Senior Data Analyst,Analytics,Bangalore,Active,UG,Day,1749000
175,ASG00175,Harish,Prasad,Harish Prasad,Male,Married,32,1994-07-03,2015-03-25,,Senior Payroll Analyst,Payroll,Hyderabad,Active,UG,Day,1380000
176,ASG00176,Praneel,Sharaf,Praneel Sharaf,Male,Married,36,1990-07-26,2015-03-25,,Senior Sales Executive,Sales,Bangalore,Active,PG,Day,1671000
177,ASG00177,Vasudha,Som,Vasudha Som,Female,Married,32,1994-04-24,2015-03-25,,Data Analyst,Analytics,Mumbai,Active,UG,Mid,1030000
178,ASG00178,Nimrat,Guha,Nimrat Guha,Female,Married,38,1988-09-15,2015-03-26,2018-12-26,Sales Executive,Sales,Hyderabad,Relieved,PG,Day,1364000
179,ASG00179,Gauri,Roy,Gauri Roy,Female,Married,45,1981-06-03,2015-03-27,,Regional Sales Lead,Sales,Mumbai,Active,UG,Mid,2266000
180,ASG00180,Ganga,Sundaram,Ganga Sundaram,Female,Single,45,1981-02-09,2015-03-27,2023-09-20,Regional Sales Lead,Sales,Chennai,Relieved,PG,Mid,2288000
181,ASG00181,Aahana,Pandya,Aahana Pandya,Female,Married,34,1992-07-24,2015-03-27,,Senior Payroll Analyst,Payroll,Mumbai,Active,PG,Night,1522000
182,ASG00182,Samarth,Barad,Samarth Barad,Male,Married,57,1969-03-07,2015-03-27,,Analytics Manager,Analytics,Kolkata,Active,PG,Day,3735000
183,ASG00183,Gabriel,Chad,Gabriel Chad,Male,Married,42,1984-07-18,2015-03-27,,Senior Payroll Analyst,Payroll,Bangalore,Active,PG,Day,2102000
184,ASG00184,Mason,Pradhan,Mason Pradhan,Male,Married,40,1986-04-20,2015-03-27,2016-07-19,Regional Sales Lead,Sales,Bangalore,Relieved,PG,Night,1983000
185,ASG00185,Libni,Devi,Libni Devi,Female,Single,34,1992-05-05,2015-03-28,,Regional Sales Lead,Sales,Bangalore,Active,PG,Day,1511000
186,ASG00186,Daksha,Badami,Daksha Badami,Female,Single,38,1988-01-10,2015-03-28,,Sr Accountant,Finance,Kolkata,Active,UG,Night,1779000
187,ASG00187,Janani,Mohanty,Janani Mohanty,Female,Single,39,1986-11-10,2015-03-29,,Senior Payroll Analyst,Payroll,Bangalore,Active,PG,Night,1874000
188,ASG00188,Anya,Ramaswamy,Anya Ramaswamy,Female,Married,45,1980-10-11,2015-03-30,,Senior Data Analyst,Analytics,Chennai,Active,PG,Day,2257000
189,ASG00189,Sachi,Yohannan,Sachi Yohannan,Female,Single,38,1988-01-12,2015-03-30,,Senior Sales Executive,Sales,Bangalore,Active,PG,Mid,1838000
190,ASG00190,Farhan,Trivedi,Farhan Trivedi,Male,Married,33,1992-11-16,2015-03-30,,Senior Data Analyst,Analytics,Kolkata,Active,PG,Night,1507000
191,ASG00191,Charles,Chada,Charles Chada,Male,Married,36,1990-03-19,2015-03-31,,Payroll Analyst,Payroll,Chennai,Active,PG,Day,1277000
192,ASG00192,Ekta,Ramachandran,Ekta Ramachandran,Female,Single,38,1987-12-22,2015-03-31,,Regional Sales Lead,Sales,Bangalore,Active,UG,Day,1771000
193,ASG00193,Ojas,Lal,Ojas Lal,Male,Single,47,1979-08-05,2015-03-31,,HR Manager,HR,Bangalore,Active,PG,Night,2956000
194,ASG00194,Mohammed,Barman,Mohammed Barman,Male,Single,35,1991-01-19,2015-04-01,,Senior Data Analyst,Analytics,Bangalore,Active,PG,Day,1647000
195,ASG00195,Girish,Gaba,Girish Gaba,Male,Married,37,1989-07-04,2015-04-01,,Data Analyst,Analytics,Bangalore,Active,PG,Mid,1291000
196,ASG00196,Mugdha,Merchant,Mugdha Merchant,Female,Single,46,1980-05-06,2015-04-01,,HR Manager,HR,Hyderabad,Active,PG,Day,2845000
197,ASG00197,Mekhala,Parikh,Mekhala Parikh,Female,Single,32,1994-08-08,2015-04-01,,Payroll Analyst,Payroll,Chennai,Active,PG,Mid,1063000
198,ASG00198,Ekalinga,Rama,Ekalinga Rama,Male,Single,42,1984-01-18,2015-04-02,2017-02-11,Sr Accountant,Finance,Bangalore,Relieved,PG,Day,2053000
199,ASG00199,Girindra,Andra,Girindra Andra,Male,Single,36,1990-01-21,2015-04-02,,Senior Payroll Analyst,Payroll,Chennai,Active,PG,Day,1672000
200,ASG00200,Wakeeta,Sami,Wakeeta Sami,Female,Single,37,1988-09-20,2015-04-02,2019-05-16,Senior Data Analyst,Analytics,Mumbai,Relieved,UG,Day,1721000
201,ASG00201,Pranav,Yogi,Pranav Yogi,Male,Single,43,1982-11-08,2015-04-02,,Senior Data Analyst,Analytics,Bangalore,Active,PG,Mid,2151000
202,ASG00202,Frederick,Varty,Frederick Varty,Male,Married,51,1975-01-16,2015-04-03,,Analytics Manager,Analytics,Hyderabad,Active,UG,Day,3231000
203,ASG00203,Amruta,Gola,Amruta Gola,Female,Married,37,1989-05-23,2015-04-03,,Senior Sales Executive,Sales,Mumbai,Active,PG,Day,1709000
204,ASG00204,Nisha,Zacharia,Nisha Zacharia,Female,Single,32,1994-03-28,2015-04-03,,Sr Accountant,Finance,Hyderabad,Active,PG,Day,1392000
205,ASG00205,Elijah,Gade,Elijah Gade,Male,Single,36,1990-04-04,2015-04-03,,Senior Payroll Analyst,Payroll,Kolkata,Active,UG,Day,1635000
206,ASG00206,Akshay,Dada,Akshay Dada,Male,Married,33,1993-03-07,2015-04-04,,Accounts Executive,Finance,Bangalore,Active,UG,Day,1075000
207,ASG00207,Aarav,Prasad,Aarav Prasad,Male,Married,45,1981-07-20,2015-04-04,,Sr Accountant,Finance,Kolkata,Active,UG,Night,2317000
208,ASG00208,Bhavika,Pillai,Bhavika Pillai,Female,Single,33,1993-01-25,2015-04-05,,Senior Data Analyst,Analytics,Bangalore,Active,PG,Mid,1495000
209,ASG00209,Matthew,Kalita,Matthew Kalita,Male,Single,32,1994-05-24,2015-04-05,,HR Analyst,HR,Hyderabad,Active,UG,Day,1050000
210,ASG00210,Faraj,Kothari,Faraj Kothari,Male,Single,35,1991-01-12,2015-04-05,,Payroll Analyst,Payroll,Mumbai,Active,UG,Day,1174000
211,ASG00211,Edhitha,Cherian,Edhitha Cherian,Female,Married,32,1994-01-28,2015-04-05,,HR Executive,HR,Chennai,Active,UG,Day,698000
212,ASG00212,Nihal,Sundaram,Nihal Sundaram,Male,Single,38,1988-04-23,2015-04-06,,Accounts Executive,Finance,Hyderabad,Active,PG,Day,1367000
213,ASG00213,Damyanti,Bora,Damyanti Bora,Female,Married,33,1993-08-31,2015-04-07,,Data Analyst,Analytics,Kolkata,Active,PG,Day,1073000
214,ASG00214,Sai,Lala,Sai Lala,Female,Single,45,1980-11-10,2015-04-07,,Senior Data Analyst,Analytics,Bangalore,Active,PG,Day,2274000
215,ASG00215,Nidhi,Dalal,Nidhi Dalal,Female,Single,35,1991-08-25,2015-04-07,,Sr Accountant,Finance,Chennai,Active,PG,Night,1640000
216,ASG00216,Priya,Som,Priya Som,Female,Married,36,1990-07-15,2015-04-08,,HR Analyst,HR,Kolkata,Active,PG,Mid,1275000
217,ASG00217,Yahvi,Dara,Yahvi Dara,Female,Married,33,1993-03-01,2015-04-08,,Senior Data Analyst,Analytics,Hyderabad,Active,PG,Mid,1498000
218,ASG00218,Yochana,Koshy,Yochana Koshy,Female,Single,43,1983-04-15,2015-04-08,,Senior Data Analyst,Analytics,Hyderabad,Active,PG,Day,2127000
219,ASG00219,Rachita,Shah,Rachita Shah,Female,Single,33,1992-11-09,2015-04-08,,Sales Executive,Sales,Kolkata,Active,UG,Mid,1089000
220,ASG00220,Orinder,Butala,Orinder Butala,Male,Married,39,1987-05-31,2015-04-09,,Regional Sales Lead,Sales,Bangalore,Active,UG,Day,1887000
221,ASG00221,Bhavya,Chahal,Bhavya Chahal,Female,Single,48,1978-01-22,2015-04-10,2021-09-24,Finance Manager,Finance,Chennai,Relieved,UG,Day,3056000
222,ASG00222,Yug,Muni,Yug Muni,Male,Married,44,1982-06-15,2015-04-11,,Senior Payroll Analyst,Payroll,Kolkata,Active,PG,Night,2227000
223,ASG00223,Libni,Kara,Libni Kara,Female,Single,32,1994-02-16,2015-04-11,,Payroll Analyst,Payroll,Hyderabad,Active,UG,Day,1033000
224,ASG00224,Hamsini,Nair,Hamsini Nair,Female,Married,33,1993-01-05,2015-04-11,,Accounts Executive,Finance,Chennai,Active,PG,Mid,1094000
225,ASG00225,Tarak,Toor,Tarak Toor,Male,Single,32,1994-02-19,2015-04-11,,Data Analyst,Analytics,Hyderabad,Active,UG,Mid,1020000
226,ASG00226,Noah,Naidu,Noah Naidu,Male,Married,40,1985-09-17,2015-04-12,,Sr Accountant,Finance,Bangalore,Active,PG,Mid,1920000
227,ASG00227,Xiti,Rau,Xiti Rau,Female,Single,32,1994-01-14,2015-04-12,,Accounts Executive,Finance,Bangalore,Active,PG,Day,1029000
228,ASG00228,Naksh,Goda,Naksh Goda,Male,Single,37,1989-08-03,2015-04-12,,Senior Payroll Analyst,Payroll,Chennai,Active,UG,Day,1766000
229,ASG00229,Guneet,Sheth,Guneet Sheth,Male,Married,34,1992-07-09,2015-04-13,,Sales Executive,Sales,Kolkata,Active,PG,Day,1138000
230,ASG00230,Januja,Pall,Januja Pall,Female,Single,38,1988-01-13,2015-04-13,,HR Analyst,HR,Hyderabad,Active,PG,Day,1357000
231,ASG00231,Pushti,Rout,Pushti Rout,Female,Married,56,1969-12-01,2015-04-13,,Finance Manager,Finance,Bangalore,Active,PG,Day,3685000
232,ASG00232,Rayaan,Kala,Rayaan Kala,Male,Married,42,1984-07-11,2015-04-14,,Sr Accountant,Finance,Hyderabad,Active,PG,Day,2065000
233,ASG00233,Garima,Sathe,Garima Sathe,Female,Married,45,1981-05-30,2015-04-14,2022-07-06,Regional Sales Lead,Sales,Kolkata,Relieved,UG,Day,2317000
234,ASG00234,Eesha,Sankar,Eesha Sankar,Female,Single,33,1992-10-19,2015-04-14,,Regional Sales Lead,Sales,Mumbai,Active,PG,Night,1463000
235,ASG00235,Krish,Narasimhan,Krish Narasimhan,Male,Married,32,1994-02-11,2015-04-14,,HR Analyst,HR,Chennai,Active,PG,Day,1058000
236,ASG00236,Lila,Saxena,Lila Saxena,Female,Single,54,1972-07-01,2015-04-14,,Finance Manager,Finance,Kolkata,Active,UG,Day,3486000
237,ASG00237,Lekha,Dhillon,Lekha Dhillon,Female,Single,46,1980-09-08,2015-04-15,,Sales Manager,Sales,Kolkata,Active,PG,Night,2927000
238,ASG00238,Krish,Kaur,Krish Kaur,Male,Single,43,1983-04-03,2015-04-15,,Sr Accountant,Finance,Chennai,Active,PG,Day,2154000
239,ASG00239,Noah,Dhar,Noah Dhar,Male,Married,45,1981-01-21,2015-04-15,,Sr Accountant,Finance,Chennai,Active,PG,Day,2307000
240,ASG00240,Diya,Loyal,Diya Loyal,Female,Married,52,1973-12-22,2015-04-15,,HR Manager,HR,Kolkata,Active,PG,Mid,3341000
241,ASG00241,Nandini,Shanker,Nandini Shanker,Female,Married,34,1992-08-30,2015-04-16,,Accounts Executive,Finance,Chennai,Active,UG,Day,1179000
242,ASG00242,Sai,Ratta,Sai Ratta,Male,Married,32,1994-01-09,2015-04-16,,Senior Payroll Analyst,Payroll,Chennai,Active,PG,Day,1371000
243,ASG00243,Advay,Narayan,Advay Narayan,Male,Single,34,1992-04-24,2015-04-17,,Senior Data Analyst,Analytics,Mumbai,Active,PG,Mid,1520000
244,ASG00244,Tara,Nayar,Tara Nayar,Female,Married,54,1972-07-20,2015-04-17,2024-07-06,Payroll Manager,Payroll,Hyderabad,Relieved,PG,Day,3525000
245,ASG00245,Charvi,Talwar,Charvi Talwar,Female,Married,39,1987-05-20,2015-04-18,,Sr Accountant,Finance,Mumbai,Active,UG,Day,1877000
246,ASG00246,Henry,Samra,Henry Samra,Male,Single,57,1969-09-15,2015-04-18,,Analytics Manager,Analytics,Mumbai,Active,UG,Day,3752000
247,ASG00247,Patrick,Narayanan,Patrick Narayanan,Male,Single,43,1983-03-14,2015-04-19,,Senior Data Analyst,Analytics,Mumbai,Active,UG,Day,2128000
248,ASG00248,Ayushman,Ratta,Ayushman Ratta,Male,Married,36,1989-10-13,2015-04-19,,Regional Sales Lead,Sales,Chennai,Active,UG,Night,1717000
249,ASG00249,Harini,Anne,Harini Anne,Female,Single,44,1981-10-28,2015-04-19,,Sr Accountant,Finance,Mumbai,Active,PG,Day,2240000
250,ASG00250,Lila,Krishnan,Lila Krishnan,Female,Single,37,1989-03-07,2015-04-19,,HR Analyst,HR,Chennai,Active,PG,Day,1276000
251,ASG00251,Dhruv,Natt,Dhruv Natt,Male,Married,44,1981-12-05,2015-04-21,2021-05-01,Senior Payroll Analyst,Payroll,Hyderabad,Relieved,UG,Day,2256000
252,ASG00252,Triya,Soni,Triya Soni,Female,Single,38,1988-02-01,2015-04-21,,Sr Accountant,Finance,Bangalore,Active,UG,Day,1830000
253,ASG00253,Wyatt,Nigam,Wyatt Nigam,Male,Single,33,1993-02-14,2015-04-22,,Payroll Analyst,Payroll,Kolkata,Active,UG,Day,1125000
254,ASG00254,Abha,Barad,Abha Barad,Female,Single,32,1993-10-23,2015-04-22,2024-12-17,HR Executive,HR,Mumbai,Relieved,PG,Day,696000
255,ASG00255,Januja,Dara,Januja Dara,Female,Married,36,1989-10-23,2015-04-22,,Payroll Analyst,Payroll,Bangalore,Active,PG,Day,1228000
256,ASG00256,Krish,Narain,Krish Narain,Male,Married,40,1985-10-11,2015-04-23,,Senior Sales Executive,Sales,Kolkata,Active,UG,Mid,1912000
257,ASG00257,Adya,Kadakia,Adya Kadakia,Female,Married,44,1982-02-22,2015-04-23,,Senior Sales Executive,Sales,Kolkata,Active,PG,Day,2206000
258,ASG00258,Veer,Varma,Veer Varma,Male,Married,32,1994-07-16,2015-04-24,2018-10-18,Senior Data Analyst,Analytics,Bangalore,Relieved,UG,Mid,1417000
259,ASG00259,Lakshit,Pingle,Lakshit Pingle,Male,Single,34,1991-12-14,2015-04-25,,Sales Executive,Sales,Bangalore,Active,UG,Mid,1150000
260,ASG00260,Chaaya,Guha,Chaaya Guha,Female,Single,52,1974-08-25,2015-04-25,,Finance Manager,Finance,Chennai,Active,PG,Night,3316000
261,ASG00261,Aashi,Chandran,Aashi Chandran,Female,Married,40,1986-08-19,2015-04-25,,Sr Accountant,Finance,Mumbai,Active,UG,Mid,1996000
262,ASG00262,Faras,Narayan,Faras Narayan,Male,Married,45,1981-05-02,2015-04-26,,Sales Manager,Sales,Mumbai,Active,PG,Mid,2803000
263,ASG00263,Januja,Sheth,Januja Sheth,Female,Married,38,1988-06-08,2015-04-26,,Senior Data Analyst,Analytics,Hyderabad,Active,PG,Mid,1811000
264,ASG00264,Ishanvi,Garde,Ishanvi Garde,Female,Married,42,1984-01-22,2015-04-27,,Senior Data Analyst,Analytics,Chennai,Active,UG,Day,2132000
265,ASG00265,Mohammed,Chad,Mohammed Chad,Male,Single,54,1972-07-26,2015-04-27,2023-09-13,Sales Manager,Sales,Hyderabad,Relieved,UG,Day,3497000
266,ASG00266,Sathvik,Vig,Sathvik Vig,Male,Single,37,1989-01-29,2015-04-27,,Senior Sales Executive,Sales,Mumbai,Active,PG,Day,1720000
267,ASG00267,Ekani,Chokshi,Ekani Chokshi,Female,Single,37,1989-02-19,2015-04-28,,HR Analyst,HR,Mumbai,Active,UG,Day,1319000
268,ASG00268,Akshay,Madan,Akshay Madan,Male,Married,42,1984-07-21,2015-04-28,,Regional Sales Lead,Sales,Hyderabad,Active,UG,Mid,2127000
269,ASG00269,Ubika,Basu,Ubika Basu,Female,Married,41,1985-05-04,2015-04-28,2021-07-29,Regional Sales Lead,Sales,Mumbai,Relieved,PG,Night,2029000
270,ASG00270,George,Varghese,George Varghese,Male,Single,32,1994-08-20,2015-04-28,,BI Developer,Analytics,Mumbai,Active,UG,Mid,1041000
271,ASG00271,Kala,Sinha,Kala Sinha,Female,Single,34,1991-11-20,2015-04-28,2017-12-24,Data Analyst,Analytics,Mumbai,Relieved,UG,Day,1135000
272,ASG00272,Onkar,Oza,Onkar Oza,Male,Single,37,1988-12-06,2015-04-29,,Sales Executive,Sales,Bangalore,Active,PG,Mid,1279000
273,ASG00273,Oscar,Nadkarni,Oscar Nadkarni,Male,Married,41,1985-07-24,2015-04-29,,Senior Data Analyst,Analytics,Chennai,Active,UG,Night,2063000
274,ASG00274,Wriddhish,Kumer,Wriddhish Kumer,Male,Single,43,1982-10-12,2015-04-30,,Sr Accountant,Finance,Kolkata,Active,PG,Day,2152000
275,ASG00275,Wishi,Narain,Wishi Narain,Female,Single,56,1969-09-24,2015-04-30,,Sales Manager,Sales,Chennai,Active,UG,Night,3689000
276,ASG00276,Jeremiah,Bansal,Jeremiah Bansal,Male,Married,36,1990-04-26,2015-04-30,,Sales Executive,Sales,Chennai,Active,UG,Day,1273000
277,ASG00277,Yash,Deol,Yash Deol,Male,Married,32,1994-02-16,2015-05-01,,Senior Payroll Analyst,Payroll,Chennai,Active,PG,Mid,1421000
278,ASG00278,Alka,Srivastava,Alka Srivastava,Female,Single,33,1993-08-28,2015-05-01,,Sr Accountant,Finance,Bangalore,Active,PG,Day,1492000
279,ASG00279,Qadim,Kulkarni,Qadim Kulkarni,Male,Married,35,1991-08-30,2015-05-02,,Senior Sales Executive,Sales,Chennai,Active,UG,Day,1625000
280,ASG00280,Vidhi,Issac,Vidhi Issac,Female,Married,34,1992-02-26,2015-05-02,,HR Analyst,HR,Hyderabad,Active,UG,Day,1120000
281,ASG00281,Qarin,Mahal,Qarin Mahal,Male,Single,36,1990-07-28,2015-05-03,2023-11-20,Senior Payroll Analyst,Payroll,Chennai,Relieved,PG,Day,1664000
282,ASG00282,Yashvi,Ratta,Yashvi Ratta,Female,Married,37,1989-09-09,2015-05-03,,HR Analyst,HR,Kolkata,Active,UG,Day,1300000
283,ASG00283,Nidra,Kamdar,Nidra Kamdar,Female,Married,49,1976-11-13,2015-05-04,2019-12-02,Finance Manager,Finance,Bangalore,Relieved,UG,Day,3068000
284,ASG00284,Avni,Roy,Avni Roy,Female,Married,32,1994-01-03,2015-05-04,,Sr Accountant,Finance,Bangalore,Active,PG,Mid,1420000
285,ASG00285,Bhavini,Upadhyay,Bhavini Upadhyay,Female,Single,33,1993-07-24,2015-05-05,,HR Analyst,HR,Kolkata,Active,PG,Day,1131000
286,ASG00286,Zinal,Misra,Zinal Misra,Female,Single,34,1992-03-02,2015-05-07,2019-10-31,Accounts Executive,Finance,Chennai,Relieved,PG,Day,1118000
287,ASG00287,Warhi,Chana,Warhi Chana,Female,Married,44,1982-09-02,2015-05-07,,Senior Payroll Analyst,Payroll,Bangalore,Active,UG,Night,2209000
288,ASG00288,Yashoda,Vig,Yashoda Vig,Female,Married,35,1990-09-29,2015-05-07,,HR Analyst,HR,Bangalore,Active,PG,Mid,1168000
289,ASG00289,Nicholas,Suresh,Nicholas Suresh,Male,Married,38,1988-08-04,2015-05-08,,Sales Executive,Sales,Kolkata,Active,PG,Day,1365000
290,ASG00290,Nathan,Nori,Nathan Nori,Male,Married,35,1991-09-02,2015-05-09,2023-08-25,Senior Sales Executive,Sales,Bangalore,Relieved,PG,Day,1637000
291,ASG00291,Pranit,Golla,Pranit Golla,Male,Married,45,1981-02-05,2015-05-09,,HR Manager,HR,Bangalore,Active,PG,Day,2799000
292,ASG00292,Balvan,Ghosh,Balvan Ghosh,Male,Single,37,1989-02-17,2015-05-09,2019-05-01,Regional Sales Lead,Sales,Hyderabad,Relieved,PG,Day,1736000
293,ASG00293,Lavanya,Wable,Lavanya Wable,Female,Married,47,1979-06-09,2015-05-09,,Finance Manager,Finance,Hyderabad,Active,PG,Mid,2980000
294,ASG00294,Yoshita,Rajagopal,Yoshita Rajagopal,Female,Married,35,1991-04-25,2015-05-10,,Sr Accountant,Finance,Mumbai,Active,UG,Day,1614000
295,ASG00295,Damyanti,Kala,Damyanti Kala,Female,Married,39,1987-02-06,2015-05-11,,Senior Sales Executive,Sales,Kolkata,Active,UG,Mid,1901000
296,ASG00296,Akshay,Sheth,Akshay Sheth,Male,Single,32,1994-05-20,2015-05-11,,Senior Data Analyst,Analytics,Kolkata,Active,PG,Day,1385000
297,ASG00297,Jai,Kadakia,Jai Kadakia,Male,Married,35,1991-06-29,2015-05-11,,Sales Executive,Sales,Hyderabad,Active,PG,Day,1225000
298,ASG00298,Upadhriti,Trivedi,Upadhriti Trivedi,Female,Married,34,1992-07-04,2015-05-11,,Senior Payroll Analyst,Payroll,Bangalore,Active,PG,Mid,1507000
299,ASG00299,Zansi,Date,Zansi Date,Female,Single,36,1990-06-22,2015-05-12,,Data Analyst,Analytics,Bangalore,Active,UG,Day,1236000
300,ASG00300,Yasti,Kakar,Yasti Kakar,Female,Single,40,1986-01-01,2015-05-12,,Regional Sales Lead,Sales,Kolkata,Active,PG,Day,1960000
301,ASG00301,Krishna,Suresh,Krishna Suresh,Male,Married,54,1972-03-07,2015-05-13,,Analytics Manager,Analytics,Chennai,Active,PG,Day,3460000
302,ASG00302,Ekansh,Nanda,Ekansh Nanda,Male,Single,40,1986-05-01,2015-05-13,2017-09-30,Senior Sales Executive,Sales,Mumbai,Relieved,UG,Day,1992000
303,ASG00303,Qabil,Ramanathan,Qabil Ramanathan,Male,Married,35,1990-12-20,2015-05-14,2019-03-03,Data Analyst,Analytics,Kolkata,Relieved,UG,Night,1177000
304,ASG00304,Zinal,Zacharia,Zinal Zacharia,Female,Married,35,1991-08-24,2015-05-14,,Sales Executive,Sales,Mumbai,Active,UG,Day,1216000
305,ASG00305,Girindra,Doshi,Girindra Doshi,Male,Single,44,1982-02-11,2015-05-16,2023-12-28,Sr Accountant,Finance,Bangalore,Relieved,UG,Mid,2191000
306,ASG00306,Faraj,Dhawan,Faraj Dhawan,Male,Married,35,1990-11-07,2015-05-16,,Senior Sales Executive,Sales,Kolkata,Active,UG,Day,1642000
307,ASG00307,Dominic,Bhat,Dominic Bhat,Male,Single,32,1994-06-19,2015-05-16,,HR Executive,HR,Bangalore,Active,UG,Day,708000
308,ASG00308,Anika,Mand,Anika Mand,Female,Married,48,1978-05-09,2015-05-17,2015-09-09,Analytics Manager,Analytics,Chennai,Relieved,UG,Day,3059000
309,ASG00309,Mason,Gola,Mason Gola,Male,Married,58,1967-12-16,2015-05-19,2017-10-01,HR Manager,HR,Bangalore,Relieved,UG,Mid,3800000
310,ASG00310,Ekiya,Loke,Ekiya Loke,Female,Married,32,1994-02-04,2015-05-19,,Data Analyst,Analytics,Hyderabad,Active,UG,Day,1073000
311,ASG00311,Pranav,Dave,Pranav Dave,Male,Married,32,1994-07-21,2015-05-19,2025-08-08,Senior Data Analyst,Analytics,Bangalore,Relieved,UG,Night,1380000
312,ASG00312,Veer,Ganguly,Veer Ganguly,Male,Single,35,1991-08-11,2015-05-20,,HR Analyst,HR,Kolkata,Active,PG,Day,1200000
313,ASG00313,Idika,Bera,Idika Bera,Female,Married,44,1981-10-06,2015-05-21,,Senior Payroll Analyst,Payroll,Chennai,Active,PG,Mid,2262000
314,ASG00314,Girik,Dube,Girik Dube,Male,Single,35,1990-10-24,2015-05-22,,Senior Sales Executive,Sales,Mumbai,Active,UG,Night,1598000
315,ASG00315,Triveni,Suri,Triveni Suri,Female,Married,51,1974-12-02,2015-05-22,,HR Manager,HR,Hyderabad,Active,PG,Day,3246000
316,ASG00316,Akshay,Mital,Akshay Mital,Male,Married,44,1982-06-19,2015-05-22,,Senior Sales Executive,Sales,Bangalore,Active,PG,Mid,2234000
317,ASG00317,Indrajit,Varkey,Indrajit Varkey,Male,Married,32,1994-06-09,2015-05-23,,HR Executive,HR,Mumbai,Active,PG,Day,711000
318,ASG00318,Rajata,Chanda,Rajata Chanda,Female,Married,32,1993-11-22,2015-05-23,,Regional Sales Lead,Sales,Bangalore,Active,UG,Night,1363000
319,ASG00319,Viraj,Ray,Viraj Ray,Male,Married,36,1990-05-12,2015-05-23,,Senior Payroll Analyst,Payroll,Kolkata,Active,UG,Day,1667000
320,ASG00320,Garima,Nair,Garima Nair,Female,Married,32,1994-01-31,2015-05-23,,Payroll Executive,Payroll,Chennai,Active,PG,Day,696000
321,ASG00321,Eta,Trivedi,Eta Trivedi,Female,Single,36,1990-06-07,2015-05-25,,HR Analyst,HR,Hyderabad,Active,PG,Day,1241000
322,ASG00322,Anmol,Sinha,Anmol Sinha,Male,Single,43,1982-11-04,2015-05-25,,Sr Accountant,Finance,Bangalore,Active,UG,Day,2162000
323,ASG00323,Aarini,Bhardwaj,Aarini Bhardwaj,Female,Single,47,1978-10-14,2015-05-25,,Finance Manager,Finance,Kolkata,Active,UG,Day,2942000
324,ASG00324,Champak,Pandit,Champak Pandit,Male,Married,34,1992-03-17,2015-05-26,,Regional Sales Lead,Sales,Kolkata,Active,UG,Mid,1512000
325,ASG00325,Kabir,Narasimhan,Kabir Narasimhan,Male,Single,50,1976-01-18,2015-05-26,2022-11-04,Sales Manager,Sales,Chennai,Relieved,PG,Day,3231000
326,ASG00326,Amrita,Gade,Amrita Gade,Female,Married,32,1994-06-19,2015-05-26,,HR Executive,HR,Chennai,Active,PG,Day,712000
327,ASG00327,Yashasvi,Halder,Yashasvi Halder,Female,Single,36,1990-09-07,2015-05-26,,Regional Sales Lead,Sales,Kolkata,Active,PG,Day,1633000
328,ASG00328,Chandani,Sami,Chandani Sami,Female,Single,48,1977-09-28,2015-05-26,2025-05-14,Payroll Manager,Payroll,Kolkata,Relieved,UG,Mid,3013000
329,ASG00329,Tarak,Iyengar,Tarak Iyengar,Male,Single,41,1985-01-13,2015-05-27,,Sr Accountant,Finance,Kolkata,Active,UG,Day,2020000
